CustomerID,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn
CUST-10000,56.0,Male,12.0,27.0,4.0,1.0,Standard,Monthly,761.35,22.0,0.0
CUST-10001,46.0,Female,37.0,13.0,1.0,1.0,Basic,Monthly,3130.78,27.0,0.0
CUST-10002,32.0,Female,28.0,19.0,4.0,1.0,Standard,Monthly,2699.87,9.0,0.0
CUST-10003,60.0,Female,20.0,21.0,3.0,5.0,Premium,Monthly,1940.7,7.0,0.0
CUST-10004,25.0,Female,39.0,24.0,3.0,17.0,Standard,Quarterly,3362.43,5.0,1.0
CUST-10005,38.0,Male,24.0,6.0,4.0,33.0,Standard,Quarterly,3402.93,29.0,0.0
CUST-10006,56.0,Male,21.0,4.0,2.0,2.0,Basic,Annual,2846.85,10.0,0.0
CUST-10007,36.0,Female,10.0,24.0,4.0,8.0,Premium,Monthly,718.44,27.0,1.0
CUST-10008,40.0,Female,46.0,27.0,1.0,6.0,Basic,Quarterly,3832.32,10.0,1.0
CUST-10009,28.0,Female,14.0,3.0,4.0,4.0,Premium,Monthly,1625.83,25.0,1.0
CUST-10010,28.0,Female,37.0,3.0,3.0,7.0,Premium,Monthly,2427.04,18.0,1.0
CUST-10011,41.0,Female,18.0,4.0,2.0,3.0,Premium,Quarterly,1291.56,7.0,0.0
CUST-10012,53.0,Male,24.0,25.0,1.0,20.0,Basic,Annual,3362.24,25.0,0.0
CUST-10013,57.0,Male,14.0,5.0,3.0,8.0,Basic,Monthly,1777.23,18.0,0.0
CUST-10014,41.0,Female,34.0,8.0,2.0,9.0,Premium,Monthly,4723.69,13.0,0.0
CUST-10015,20.0,Female,58.0,16.0,2.0,1.0,Premium,Quarterly,8120.51,11.0,0.0
CUST-10016,39.0,Male,12.0,22.0,0.0,1.0,Premium,Quarterly,1904.22,10.0,1.0
CUST-10017,19.0,Female,22.0,3.0,0.0,3.0,Standard,Monthly,1380.33,22.0,0.0
CUST-10018,41.0,Male,56.0,24.0,2.0,10.0,Standard,Quarterly,4029.26,9.0,0.0
CUST-10019,61.0,Female,6.0,12.0,3.0,19.0,Basic,Annual,676.22,15.0,0.0
CUST-10020,47.0,Male,36.0,25.0,5.0,3.0,Premium,Monthly,2568.38,14.0,1.0
CUST-10021,55.0,Male,45.0,8.0,1.0,10.0,Standard,Monthly,4643.86,3.0,0.0
CUST-10022,19.0,Female,36.0,13.0,5.0,4.0,Basic,Monthly,5017.56,24.0,0.0
CUST-10023,38.0,Male,22.0,4.0,3.0,2.0,Basic,Quarterly,3433.93,14.0,0.0
CUST-10024,50.0,Female,14.0,14.0,3.0,9.0,Standard,Monthly,2297.64,21.0,1.0
CUST-10025,29.0,Female,16.0,14.0,0.0,11.0,Standard,Annual,1853.73,16.0,0.0
CUST-10026,39.0,Female,36.0,13.0,5.0,1.0,Basic,Quarterly,4251.37,23.0,1.0
CUST-10027,61.0,Male,56.0,27.0,1.0,2.0,Basic,Monthly,4507.65,29.0,1.0
CUST-10028,42.0,Male,25.0,6.0,4.0,4.0,Basic,Monthly,2667.06,28.0,1.0
CUST-10029,66.0,Male,32.0,17.0,2.0,1.0,Basic,Quarterly,4882.83,3.0,0.0
CUST-10030,44.0,Female,33.0,4.0,4.0,18.0,Premium,Monthly,1875.12,8.0,1.0
CUST-10031,59.0,Female,45.0,8.0,0.0,6.0,Standard,Annual,5078.94,2.0,0.0
CUST-10032,45.0,Female,36.0,17.0,1.0,0.0,Standard,Monthly,5384.47,29.0,0.0
CUST-10033,33.0,Female,20.0,3.0,3.0,1.0,Premium,Monthly,1582.99,24.0,0.0
CUST-10034,32.0,Female,18.0,17.0,2.0,21.0,Basic,Quarterly,2946.46,2.0,0.0
CUST-10035,64.0,Female,38.0,9.0,0.0,9.0,Premium,Monthly,2427.85,23.0,0.0
CUST-10036,61.0,Male,3.0,2.0,2.0,9.0,Premium,Quarterly,903.55,18.0,0.0
CUST-10037,20.0,Female,23.0,25.0,5.0,0.0,Standard,Monthly,2302.21,7.0,1.0
CUST-10038,54.0,Male,32.0,13.0,4.0,15.0,Standard,Quarterly,2236.41,17.0,1.0
CUST-10039,24.0,Female,45.0,20.0,2.0,4.0,Standard,Quarterly,3375.84,6.0,0.0
CUST-10040,38.0,Female,59.0,2.0,7.0,7.0,Premium,Quarterly,7177.12,10.0,0.0
CUST-10041,26.0,Female,16.0,20.0,1.0,22.0,Basic,Quarterly,2373.92,7.0,0.0
CUST-10042,56.0,Male,59.0,28.0,4.0,0.0,Basic,Monthly,7225.79,4.0,0.0
CUST-10043,35.0,Male,5.0,11.0,2.0,4.0,Premium,Monthly,1130.81,11.0,0.0
CUST-10044,21.0,Male,4.0,27.0,4.0,0.0,Premium,Monthly,1009.8,16.0,0.0
CUST-10045,42.0,Male,21.0,26.0,2.0,4.0,Standard,Monthly,1386.62,27.0,0.0
CUST-10046,31.0,Male,40.0,22.0,4.0,2.0,Basic,Annual,4911.17,17.0,1.0
CUST-10047,67.0,Female,51.0,15.0,3.0,16.0,Basic,Monthly,4594.5,28.0,1.0
CUST-10048,26.0,Female,14.0,11.0,3.0,3.0,Standard,Quarterly,1525.54,6.0,0.0
CUST-10049,43.0,Male,39.0,23.0,3.0,7.0,Premium,Monthly,2707.56,20.0,0.0
CUST-10050,19.0,Male,31.0,3.0,3.0,13.0,Basic,Quarterly,2725.7,19.0,1.0
CUST-10051,37.0,Male,14.0,3.0,2.0,28.0,Standard,Quarterly,1738.59,20.0,1.0
CUST-10052,45.0,Female,6.0,28.0,2.0,4.0,Premium,Monthly,488.9,22.0,0.0
CUST-10053,64.0,Female,12.0,26.0,0.0,4.0,Basic,Quarterly,1599.74,21.0,0.0
CUST-10054,24.0,Female,16.0,12.0,0.0,0.0,Premium,Monthly,2573.31,18.0,0.0
CUST-10055,61.0,Female,17.0,24.0,1.0,0.0,Basic,Monthly,990.83,15.0,0.0
CUST-10056,25.0,Female,45.0,5.0,3.0,6.0,Premium,Quarterly,6022.52,2.0,0.0
CUST-10057,64.0,Female,23.0,20.0,3.0,0.0,Premium,Monthly,2951.87,19.0,0.0
CUST-10058,52.0,Male,14.0,7.0,2.0,3.0,Basic,Quarterly,1137.0,27.0,0.0
CUST-10059,31.0,Female,7.0,7.0,0.0,0.0,Premium,Monthly,976.85,6.0,0.0
CUST-10060,34.0,Male,46.0,13.0,3.0,6.0,Premium,Quarterly,3681.68,12.0,0.0
CUST-10061,53.0,Female,32.0,9.0,5.0,3.0,Premium,Monthly,2526.13,1.0,1.0
CUST-10062,67.0,Male,15.0,25.0,2.0,0.0,Standard,Quarterly,952.96,27.0,1.0
CUST-10063,57.0,Female,44.0,21.0,1.0,2.0,Standard,Annual,4669.86,23.0,0.0
CUST-10064,21.0,Female,17.0,13.0,3.0,5.0,Basic,Monthly,2041.12,24.0,1.0
CUST-10065,19.0,Female,41.0,12.0,3.0,7.0,Basic,Monthly,3547.19,23.0,0.0
CUST-10066,23.0,Female,54.0,13.0,3.0,4.0,Standard,Annual,3670.67,11.0,0.0
CUST-10067,59.0,Male,47.0,24.0,3.0,11.0,Basic,Monthly,6391.46,19.0,1.0
CUST-10068,21.0,Male,44.0,10.0,2.0,0.0,Standard,Quarterly,6533.44,22.0,1.0
CUST-10069,46.0,Male,34.0,1.0,2.0,0.0,Standard,Annual,3996.25,4.0,0.0
CUST-10070,35.0,Male,5.0,25.0,3.0,0.0,Premium,Quarterly,461.02,21.0,1.0
CUST-10071,43.0,Female,45.0,8.0,0.0,5.0,Premium,Monthly,2869.3,19.0,0.0
CUST-10072,61.0,Male,27.0,22.0,3.0,8.0,Basic,Monthly,4171.35,21.0,0.0
CUST-10073,51.0,Female,52.0,16.0,3.0,0.0,Standard,Monthly,3193.43,6.0,0.0
CUST-10074,27.0,Female,23.0,13.0,2.0,7.0,Premium,Monthly,1272.88,8.0,0.0
